lotid,waferscribe,stepname,parameter_name,sample_date,ext_mv
3768193.003,M6MFL260WAF5,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2018-11-21 03:50:49,100
3875133.003,CY1FX329SEF3,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-08-28 17:03:09,0.99006366666666700826482383490656502544879913330078125
3786103.003,CV6LR051SEE4,1230-GH CONTACT PRE METAL CMP THK,GOF,2018-12-23 12:27:25,0.652279416666667000157531219883821904659271240234375
3871413.003,CY1PT064SED6,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-06-01 17:14:59,100
3817673.003,CX6XK250SEC7,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-02-26 03:16:00,0.6027118333333330024714769024285487830638885498046875
3930493.003,DF9FR127SEB2,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-09-09 08:46:12,100
3845063.003,KC9YU029WFC3,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-04-26 06:11:50,0.96176858333333303807677339136716909706592559814453125
3836393.003,CX6KB234SEF3,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-04-13 15:52:09,100
3788273.003,CU4SZ218SEF0,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-01-14 17:06:38,0.4694495833333329759540220038616098463535308837890625
3891413.003,WCD9P339ESD3,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-07-10 12:52:00,100
3834463.003,CX6XK072SEA0,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-04-11 23:06:48,100
3765503.003,M6MFL044WAA5,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2018-10-28 02:42:08,100
3836403.003,CX5XL133SEG0,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-04-08 23:32:45,0
3821513.003,POMVU112MXD2,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-05-18 14:42:24,2
3858553.003,CX8GQ077SEF6,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-05-29 02:59:28,100
3864503.003,POOTR034MXD4,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-05-28 14:29:12,0.96569191666666698292686987770139239728450775146484375
3879773.003,CS1UT291SEB4,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-06-11 15:53:58,100
3899333.003,CZ4KZ133SEA3,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-07-22 00:54:02,100
3875123.003,CY1FX351SEH0,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-06-10 06:25:09,0
3858533.0D3,CX8GQ195SEF3,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-05-21 19:43:30,100
3789553.113,CV6BG065SEG5,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-01-14 01:10:29,2
3801623.003,POJMZ014MXE0,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-01-23 08:08:09,0.336421666666667007472568684534053318202495574951171875
3801613.003,POJSI112MXG2,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-02-22 04:57:34,100
3743683.003,CE7JQ298SEE7,1230-GH CONTACT PRE METAL CMP THK,GOF,2018-10-06 10:38:28,0.96920616666666703498123069948633201420307159423828125
3807923.003,CX7EQ191SEC5,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-02-22 03:19:36,0.6511964999999999559321395281585864722728729248046875
3878933.003,CS1UT116SEC3,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-07-10 10:16:49,2
3871293.003,CX8GQ408SEE4,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-06-17 20:24:46,2
3751003.003,CJ1BU272SEE2,1230-GH CONTACT PRE METAL CMP THK,GOF,2018-10-04 11:50:40,0.9686541666666670380436698906123638153076171875
3805123.003,CV5PP056SEF5,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-01-14 06:41:51,0.967431083333333052820535158389247953891754150390625
3736163.053,8U231122SLF5,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2018-10-07 01:06:34,2
3894793.003,M75HW062WAD3,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-08-06 15:55:38,0.9885078333333330302679087253636680543422698974609375
3751003.003,CJ1BU275SEC2,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2018-10-04 11:50:40,100
3836393.003,CX6KB234SEF3,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-04-13 15:52:09,2
3883163.003,CU4KY008SEA0,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-06-16 21:57:37,2
3899983.003,CU4KY092SEA2,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-07-21 13:18:34,100
3811693.003,M70GU074WAD2,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-03-18 13:42:56,8.333330000000000126192389870993793010711669921875
3899363.003,CU4KY195SEE6,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-07-28 19:35:08,2
3796493.0H3,CV6BH227SED1,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-01-16 20:59:14,1
3882953.0C3,M75HW144WAC0,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-07-31 09:59:56,0.99095816666666702854371351349982433021068572998046875
3832863.0K3,CX7EQ195SEE7,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-04-28 19:15:55,0.64546566666666704836785584120661951601505279541015625
3773403.063,8T744J10SLG1,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2018-12-01 13:10:51,0
3865093.003,POOYN109MXB6,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-06-26 05:51:05,0
3751733.003,CL2RG054SEG3,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2018-10-15 21:37:59,2
3814483.003,CX6XK199SEB0,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-02-25 20:37:54,0
3903873.003,CZ5JK076SED1,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-08-31 21:05:16,100
3738543.003,M6FRK090WAG4,1230-GH CONTACT PRE METAL CMP THK,GOF,2018-10-04 13:20:04,0.70943941666666698875332031093421392142772674560546875
3858013.003,CX5XL005SEB7,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-05-23 20:36:47,100
3894793.003,M75HU109WAE4,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-08-06 15:55:38,0.98849466666666696568199768080376088619232177734375
3853453.003,WBDZN124ESD5,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-05-26 20:23:39,95.8332999999999941564965411089360713958740234375
3801623.003,POJMZ014MXE0,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-01-23 08:08:09,50
3906283.003,CZ5AP254SED0,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-09-01 11:45:07,100
3811693.0Z3,M70GU077WAB2,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-03-11 08:17:43,0.3565243333333329989187632236280478537082672119140625
3738543.003,M6FRK118WAD5,1230-GH CONTACT PRE METAL CMP THK,GOF,2018-10-04 13:20:04,0.78806750000000003186784169884049333631992340087890625
3832863.0L3,CX7EQ188SEF6,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-04-29 17:45:48,2
3871413.003,CY1PT064SED6,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-06-01 17:14:59,2
3892163.003,WCD9P257ESE6,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-07-24 19:54:17,0.98878049999999995112176520706270821392536163330078125
3817673.003,CX6XK203SEA4,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-02-26 03:16:00,0.58871891666666698039733773839543573558330535888671875
3788273.003,CU4SZ179SEA2,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2019-01-14 17:06:38,100
3789553.003,CV6BG064SEC3,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-01-15 18:22:31,0
