ProcessTypeName,ProcessTypeId,ToolName,Run,RunTag,RunStartTime,TimeStamp,BATCH_ID,ALARM_LEVEL,OCAP_MODELS,OUTLIER_ALARMS,PART_TYPE,SAMPLES_COLLECTED,SEQUENCEID,STRATEGY_NAME,TOTAL_MODELS,TRANSACTION_TAG,TRAVELER,TRAVELER_STEP,CRITICAL_ALARMS,TRIGGER_EVENT,WAFER_SCRIBE,WARNING_ALARMS,WINDOW_STEP,ContextGroup,RECIPE_SEQUENCE,LOT_ATTRIBUTE,DATA_QUALITY,DATA_QUALITY_ERRORS,ENGINE_NAME,FAB_LOT_HIST_OID,GERM_PROCESS,MACHINE_NAME,MODEL_ERRORS,LOT_ID,RECIPE_NAME,SLOT_NUMBER,WAFER_ID,OESIB1,OESIB2,OESIB3,OESIB4,OESIB5,OESIB6,OESIB7,OESIB8,ProcessElapsedTime,StepID,StepName,HasEvent,EventName,EventId,EventSource,EventDescription,EventType,AlarmCode,AlarmStatus,Data Grouping
FD_DE_LAM_2300_MULTI_KiyoEX_DCP_120613,5316,L2KF452620,427609,NA,22:23.6,22:55.0,0xa4371316ee010080,,,,R41TB04AAA,,,,,,R41TB40194,3500-GH CONTACT OXIDE DRY ETCH,,RecipeStart,WCELL085ESC4,,,,,,100,,,0xa435e984ee010080,GH_CONTACT_OXIDE_R41T_A1,,,3932323.003,444GHOX1A1,1,2323-13,121.167,735.679,164.533,461.1,142.867,0,0,0,0.37,3,,,,,,,,,,L2KF452620
FD_DE_LAM_2300_MULTI_KiyoEX_DCP_120613,5316,L2KF452610,346915,NA,22:11.2,22:55.5,0xa4371316ee010080,,,,R41TB04AAA,,,,,,R41TB40194,3500-GH CONTACT OXIDE DRY ETCH,,RecipeStart,WCELL078ESD3,,,,,,100,,,0xa435e984ee010080,GH_CONTACT_OXIDE_R41T_A1,,,3932323.003,444GHOX1A1,2,2323-07,7990.57,12603.1,7339.41,9924.84,6083.59,0,0,0,4.84,4,,,,,,,,,,L2KF452610
FD_DE_LAM_2300_MULTI_KiyoEX_DCP_120613,5316,L2KF452620,427609,NA,22:23.6,22:56.0,0xa4371316ee010080,,,,R41TB04AAA,,,,,,R41TB40194,3500-GH CONTACT OXIDE DRY ETCH,,RecipeStart,WCELL085ESC4,,,,,,100,,,0xa435e984ee010080,GH_CONTACT_OXIDE_R41T_A1,,,3932323.003,444GHOX1A1,1,2323-13,-0.602273,-2.5,-3.27879,-1.96364,-0.648485,0,0,0,1.37,3,,,,,,,,,,L2KF452620
FD_DE_LAM_2300_MULTI_KiyoEX_DCP_120613,5316,L2KF452610,346915,NA,22:11.2,22:56.5,0xa4371316ee010080,,,,R41TB04AAA,,,,,,R41TB40194,3500-GH CONTACT OXIDE DRY ETCH,,RecipeStart,WCELL078ESD3,,,,,,100,,,0xa435e984ee010080,GH_CONTACT_OXIDE_R41T_A1,,,3932323.003,444GHOX1A1,2,2323-07,8146.44,12798.6,7609.29,9884.17,6180.65,0,0,0,5.84,4,,,,,,,,,,L2KF452610
FD_DE_LAM_2300_MULTI_KiyoEX_DCP_120613,5316,L2KF452620,427609,NA,22:23.6,22:57.0,0xa4371316ee010080,,,,R41TB04AAA,,,,,,R41TB40194,3500-GH CONTACT OXIDE DRY ETCH,,RecipeStart,WCELL085ESC4,,,,,,100,,,0xa435e984ee010080,GH_CONTACT_OXIDE_R41T_A1,,,3932323.003,444GHOX1A1,1,2323-13,3.14773,1.16883,1.90909,1.88485,3.15152,0,0,0,2.37,3,,,,,,,,,,L2KF452620
FD_DE_LAM_2300_MULTI_KiyoEX_DCP_120613,5316,L2KF452610,346915,NA,22:11.2,22:57.5,0xa4371316ee010080,,,,R41TB04AAA,,,,,,R41TB40194,3500-GH CONTACT OXIDE DRY ETCH,,RecipeStart,WCELL078ESD3,,,,,,100,,,0xa435e984ee010080,GH_CONTACT_OXIDE_R41T_A1,,,3932323.003,444GHOX1A1,2,2323-07,8277.6,13366.7,7914.53,9776.58,6282.79,0,0,0,6.84,4,,,,,,,,,,L2KF452610
FD_DE_LAM_2300_MULTI_KiyoEX_DCP_120613,5316,L2KF452620,427609,NA,22:23.6,22:58.0,0xa4371316ee010080,,,,R41TB04AAA,,,,,,R41TB40194,3500-GH CONTACT OXIDE DRY ETCH,,RecipeStart,WCELL085ESC4,,,,,,100,,,0xa435e984ee010080,GH_CONTACT_OXIDE_R41T_A1,,,3932323.003,444GHOX1A1,1,2323-13,6.94318,4.72727,4.35152,6.01818,5.93939,0,0,0,3.37,3,,,,,,,,,,L2KF452620
FD_DE_LAM_2300_MULTI_KiyoEX_DCP_120613,5316,L2KF452610,346915,NA,22:11.2,22:58.5,0xa4371316ee010080,,,,R41TB04AAA,,,,,,R41TB40194,3500-GH CONTACT OXIDE DRY ETCH,,RecipeStart,WCELL078ESD3,,,,,,100,,,0xa435e984ee010080,GH_CONTACT_OXIDE_R41T_A1,,,3932323.003,444GHOX1A1,2,2323-07,8375.34,14068.2,8188.74,9687.71,6384.5,0,0,0,7.84,4,,,,,,,,,,L2KF452610
FD_DE_LAM_2300_MULTI_KiyoEX_DCP_120613,5316,L2KF452620,427609,NA,22:23.6,22:59.0,0xa4371316ee010080,,,,R41TB04AAA,,,,,,R41TB40194,3500-GH CONTACT OXIDE DRY ETCH,,RecipeStart,WCELL085ESC4,,,,,,100,,,0xa435e984ee010080,GH_CONTACT_OXIDE_R41T_A1,,,3932323.003,444GHOX1A1,1,2323-13,8.31818,5.78571,5.58182,6.93939,7.38182,0,0,0,4.37,3,,,,,,,,,,L2KF452620
FD_DE_LAM_2300_MULTI_KiyoEX_DCP_120613,5316,L2KF452610,346915,NA,22:11.2,22:59.5,0xa4371316ee010080,,,,R41TB04AAA,,,,,,R41TB40194,3500-GH CONTACT OXIDE DRY ETCH,,RecipeStart,WCELL078ESD3,,,,,,100,,,0xa435e984ee010080,GH_CONTACT_OXIDE_R41T_A1,,,3932323.003,444GHOX1A1,2,2323-07,8456.43,14404.9,8407.85,9641.36,6465.39,0,0,0,8.84,4,,,,,,,,,,L2KF452610
