lotid,waferscribe,stepname,parameter_name,sample_date,ext_mv
3788243.003,CV6BG005SEB6,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2018-10-11 06:11:46,335.98233333333297423450858332216739654541015625
3915423.003,CZ5JK331SEF4,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2019-05-31 14:03:56,100
3870963.003,CY1PT233SEG3,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-03-13 08:51:02,335.3020000000000209183781407773494720458984375
3945363.083,KD71W026WFH0,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JCNT,2019-08-29 11:11:46,1
3938373.003,DF9SU224SEF5,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2019-07-12 15:43:44,100
3846943.003,WBDZP064ESB1,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2019-01-28 12:14:30,100
3865083.003,POOYN076MXG5,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JCNT,2019-03-04 04:33:26,2
3970563.003,DJ2TU004SEE0,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2019-09-06 22:59:43,100
3852283.003,CX5NM146SEB0,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2019-02-10 06:25:33,100
3973973.003,DJ1SR338SED6,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2019-09-12 19:34:40,100
3894873.003,M75HY071WAE3,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2019-04-27 19:54:56,100
3805113.003,CU4SZ113SEG6,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2018-11-09 19:15:23,100
3870973.003,CX8GQ329SED7,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JCNT,2019-03-13 16:12:43,2
3782343.063,CU4KY368SEC2,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2018-10-08 05:00:04,100
3865073.003,CX8GQ156SEG3,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JCNT,2019-03-03 14:28:30,2
3846943.003,WBDZP064ESB1,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JCNT,2019-01-28 12:14:30,2
3817683.003,CX6XK123SED0,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2018-12-06 04:10:44,100
3906893.003,CZ5JK292SEA6,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2019-05-16 05:27:52,100
3961813.003,DF4DL277SEF2,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-09-05 03:09:51,344.89650000000000318323145620524883270263671875
3858013.003,CX5XL005SEB7,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2019-02-16 07:55:49,100
3942403.003,DA8LR046SEH0,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2019-07-21 20:04:14,100
3784863.013,CU4SZ313SEF0,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2018-10-04 13:52:22,333.670166666667000754387117922306060791015625
3879033.003,CS1UT266SEB7,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2019-03-29 20:44:25,100
3892163.003,WCD9P260ESB5,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2019-04-19 21:49:27,100
3817703.003,CX7QZ028SEE2,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2018-12-06 10:11:34,333.83333333333297332501388154923915863037109375
3875043.003,CY1FX363SEF2,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2019-03-22 08:10:46,100
3807913.003,CU4SZ071SEE0,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2018-11-16 02:20:03,335.9150833333329728702665306627750396728515625
3845033.003,WAX1T336ESF1,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2019-01-24 03:39:16,100
3814483.003,CX6XK199SEB0,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2018-11-30 00:19:29,100
3860713.003,KCGHC131WFG7,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-02-21 10:01:26,336.77208333333300060985493473708629608154296875
3970563.003,DJ2TU004SEE0,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2019-09-06 22:59:43,100
3955753.003,PQZRJ097MXD6,1220-22 STI INTEGRATED DRY STRIP SCATTER,POINTS_VALID_S1_JPCT,2019-08-10 11:06:44,100
3809433.003,KCGHC149WFB1,1220-22 STI INTEGRATED DRY STRIP SCATTER,WAFERS_MEASURED_JPCT,2018-11-19 17:59:13,100
3840503.003,POOYO157MXB3,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2019-01-16 13:41:49,334.37483333333301516177016310393810272216796875
3817673.003,CX6XK203SEA4,1220-22 STI INTEGRATED DRY STRIP SCATTER,DEPTH_TOTAL_TRENCH_BOX01,2018-12-07 04:28:50,333.57833333333297787248739041388034820556640625
